Source,Year,sex,length_cm,latitude,longitude,Month,Day,
M426/98,1998,F,161,55.5304451,-4.655471802,02,28,
M487/98,1998,M,136,55.54832458,-4.659835339,03,01,
M522/98,1998,F,152,57.6867485,-2.937508583,03,08,
M586/98,1998,F,160,58.20156479,-6.381101131,03,10,
M564/98,1998,M,159,56.00369263,-2.543567419,03,13,
M588/98,1998,F,110,58.61545944,-3.347876787,03,17,
M585/98,1998,M,116,54.97856522,-3.56401372,03,17,
M726/98,1998,U,120,54.76553345,-4.998485088,03,22,
M641/98,1998,M,133,60.93253708,-1.66786015,03,23,
M679/98,1998,M,147,58.92372894,-1.134706736,03,26,
M714/98,1998,U,100,55.99459076,-3.369100094,03,29,
M852/98,1998,U,130,56.06441498,-2.780520678,04,06,
M853/98,1998,U,NA,56.06441498,-2.780520678,04,06,
M851/98,1998,U,NA,57.70481873,-3.48840332,04,06,
M854/98,1998,F,152,58.85548401,-2.915168285,04,14,
M911/98,1998,U,NA,55.9719162,-5.448709488,04,17,
M912/98,1998,U,150,59.30301285,-2.546092987,04,20,
M913/98,1998,M,117,55.60642242,-5.13064909,04,21,
M910/98,1998,F,121,56.01952744,-3.389238358,04,22,
M1022/98,1998,U,159,58.87979126,-2.907132149,04,26,
M1044/98,1998,U,NA,57.58636093,-7.506178856,05,02,
M2835/98,1998,U,NA,58.83761215,-2.902558327,05,08,
M1112/98,1998,U,100,57.54958344,-4.107101917,05,18,
M1168/98,1998,F,164,57.68082428,-2.325282812,05,26,
M1201/98,1998,M,83,57.67088699,-2.34530139,05,27,
M1202/98,1998,U,140,57.6710701,-2.548151731,05,28,
M1378/98,1998,U,150,58.11703491,-7.127177238,05,31,
M1226/98,1998,F,162,57.67942047,-1.934566617,06,01,
M1379/98,1998,U,NA,58.1023674,-7.11146307,06,08,
M1278/98,1998,F,140,57.70231628,-2.895960808,06,10,
M1341/98,1998,M,110,55.66159439,-5.152553558,06,14,
M2836/98,1998,U,100,59.03885269,-2.57500267,06,21,
M1342/98,1998,F,75,55.68562317,-4.869653702,06,22,
M1429/98,1998,U,NA,56.48046875,-6.294270515,06,23,
M1369/98,1998,F,163,56.20965195,-2.954351664,06,24,
M1430/98,1998,M,140,58.60107803,-3.510813236,07,01,
M1438/98,1998,F,102,57.70231628,-2.895960808,07,02,
M1537/98,1998,U,100,57.58140945,-4.083840847,07,17,
M1572/98,1998,U,90,57.50292969,-4.308057785,07,22,
M1694/98,1998,M,143,57.8339653,-3.847427607,08,01,
M1747/98,1998,M,90,58.87889862,-2.905379295,08,07,
M1751/98,1998,M,86,57.68080902,-2.580166101,08,13,
M2007/98,1998,M,122,57.68680954,-3.492698193,09,14,
M2140/98,1998,U,100,56.42635345,-2.804132462,09,24,
M2399/98,1998,U,100,56.60152054,-6.226489067,10,18,
M2402/98,1998,U,NA,55.77891541,-5.099808216,10,23,
M2462/98,1998,U,150,57.23925018,-5.889664173,11,06,
M2660/98,1998,M,125,54.95344543,-5.070278645,11,26,
M2691/98,1998,M,130,60.05862427,-1.346207142,12,04,
