mreference,class_field,subclass,event,eventnumberinyear,speciesscientific,speciescommon,datefound,datecertainty,latitudewgs84,longitudewgs84,sex,length,lengthuncertain,conditionfound,examinationlevel,Year
M440/93,Cetacean,Harbour porpoise,Single,44,Phocoena phocoena,Harbour porpoise,1993-02-27,Exact,56.06040955,-2.70014143,M,133,FALSE,Slight decomposition (code 2b),necropsied,1993
M491/93,Cetacean,Harbour porpoise,Single,49,Phocoena phocoena,Harbour porpoise,1993-03-05,Exact,57.20513153,-2.062868595,M,146,FALSE,freshly dead- died on beach (code 2a),necropsied,1993
M492/93,Cetacean,Harbour porpoise,Single,49,Phocoena phocoena,Harbour porpoise,1993-03-07,Exact,56.06040955,-2.70014143,U,135,TRUE,advanced decomposition (code 4),not necropsied,1993
M517/93,Cetacean,Harbour porpoise,Single,51,Phocoena phocoena,Harbour porpoise,1993-03-09,Exact,57.50398636,-4.299777031,M,157,FALSE,Slight decomposition (code 2b),necropsied,1993
M652/93,Cetacean,Harbour porpoise,Single,65,Phocoena phocoena,Harbour porpoise,1993-03-26,Exact,57.66642761,-3.010746717,U,110,TRUE,advanced decomposition (code 4),not necropsied,1993
M752/93,Cetacean,Harbour porpoise,Single,75,Phocoena phocoena,Harbour porpoise,1993-04-08,Exact,58.03357315,-3.835688829,M,102,FALSE,freshly dead- died on beach (code 2a),necropsied,1993
M791/93,Cetacean,Harbour porpoise,Single,79,Phocoena phocoena,Harbour porpoise,1993-04-14,Exact,57.13956451,-2.044582605,U,NA,FALSE,unknown,not necropsied,1993
M831/93,Cetacean,Harbour porpoise,Single,83,Phocoena phocoena,Harbour porpoise,1993-04-19,Exact,57.40987778,-1.858489633,U,150,TRUE,advanced decomposition (code 4),not necropsied,1993
M843/93,Cetacean,Harbour porpoise,Single,84,Phocoena phocoena,Harbour porpoise,1993-04-20,Exact,57.7254715,-3.32805419,F,145,FALSE,advanced decomposition (code 4),necropsied,1993
M822/93,Cetacean,Harbour porpoise,Single,82,Phocoena phocoena,Harbour porpoise,1993-04-21,Exact,58.89968109,-2.888560057,F,110,FALSE,freshly dead- died on beach (code 2a),necropsied,1993
M879/93,Cetacean,Harbour porpoise,Single,87,Phocoena phocoena,Harbour porpoise,1993-04-21,Exact,58.89968109,-2.888560057,U,90,TRUE,advanced decomposition (code 4),not necropsied,1993
M906/93,Cetacean,Harbour porpoise,Single,90,Phocoena phocoena,Harbour porpoise,1993-04-28,Exact,57.67744827,-2.979185104,M,121,FALSE,freshly dead- died on beach (code 2a),necropsied,1993
M930/93,Cetacean,Harbour porpoise,Single,93,Phocoena phocoena,Harbour porpoise,1993-04-30,Exact,57.66460419,-3.617511272,F,121,FALSE,Slight decomposition (code 2b),necropsied,1993
M1063/93,Cetacean,Harbour porpoise,Single,106,Phocoena phocoena,Harbour porpoise,1993-05-16,Exact,59.53703308,-1.603888512,F,141,FALSE,freshly dead- died on beach (code 2a),necropsied,1993
M1089/93,Cetacean,Harbour porpoise,Single,108,Phocoena phocoena,Harbour porpoise,1993-05-19,Exact,57.74845123,-3.918684959,M,127,FALSE,Slight decomposition (code 2b),necropsied,1993
M1106/93,Cetacean,Harbour porpoise,Single,110,Phocoena phocoena,Harbour porpoise,1993-05-21,Exact,55.76209641,-6.363193989,M,97,FALSE,freshly dead- died on beach (code 2a),necropsied,1993
M1116/93,Cetacean,Harbour porpoise,Single,111,Phocoena phocoena,Harbour porpoise,1993-05-22,Exact,57.66276932,-3.620789289,M,148,FALSE,advanced decomposition (code 4),necropsied,1993
M1204/93,Cetacean,Harbour porpoise,Single,120,Phocoena phocoena,Harbour porpoise,1993-05-31,Exact,57.63835907,-5.804899693,M,152,FALSE,freshly dead- died on beach (code 2a),necropsied,1993
M1190/93,Cetacean,Harbour porpoise,Single,119,Phocoena phocoena,Harbour porpoise,1993-05-31,Exact,58.50348663,-3.130787849,M,76,FALSE,Slight decomposition (code 2b),necropsied,1993
M1227/93,Cetacean,Harbour porpoise,Single,122,Phocoena phocoena,Harbour porpoise,1993-06-03,Exact,57.88892746,-4.013887405,F,141,FALSE,Slight decomposition (code 2b),necropsied,1993
M1257/93,Cetacean,Harbour porpoise,Single,125,Phocoena phocoena,Harbour porpoise,1993-06-04,Exact,56.2125206,-2.93184948,U,159,TRUE,advanced decomposition (code 4),not necropsied,1993
M1255/93,Cetacean,Harbour porpoise,Single,125,Phocoena phocoena,Harbour porpoise,1993-06-04,Exact,56.2125206,-2.93184948,U,NA,TRUE,advanced decomposition (code 4),not necropsied,1993
M1245/93,Cetacean,Harbour porpoise,Single,124,Phocoena phocoena,Harbour porpoise,1993-06-04,Exact,58.26197433,-6.323728085,U,80,TRUE,freshly dead- died on beach (code 2a),not necropsied,1993
M1237/93,Cetacean,Harbour porpoise,Single,123,Phocoena phocoena,Harbour porpoise,1993-06-04,Exact,56.7253418,-5.247639179,F,160,FALSE,freshly dead- died on beach (code 2a),necropsied,1993
M1248/93,Cetacean,Harbour porpoise,Single,124,Phocoena phocoena,Harbour porpoise,1993-06-06,Exact,57.66458511,-3.619190931,M,82,FALSE,unknown,necropsied,1993
M1256/93,Cetacean,Harbour porpoise,Single,125,Phocoena phocoena,Harbour porpoise,1993-06-06,Exact,56.2125206,-2.93184948,U,87,TRUE,advanced decomposition (code 4),not necropsied,1993
M1263/93,Cetacean,Harbour porpoise,Single,126,Phocoena phocoena,Harbour porpoise,1993-06-08,Exact,60.4859581,-1.545060039,F,156,FALSE,freshly dead- died on beach (code 2a),necropsied,1993
M1296/93,Cetacean,Harbour porpoise,Single,129,Phocoena phocoena,Harbour porpoise,1993-06-10,Exact,57.2114296,-2.044664383,M,156,FALSE,freshly dead- died on beach (code 2a),necropsied,1993
M1319/93,Cetacean,Harbour porpoise,Single,131,Phocoena phocoena,Harbour porpoise,1993-06-11,Exact,56.33575058,-2.781183958,M,74,FALSE,freshly dead- died on beach (code 2a),necropsied,1993
M1344/93,Cetacean,Harbour porpoise,Single,134,Phocoena phocoena,Harbour porpoise,1993-06-13,Exact,57.69402313,-4.009770393,U,90,TRUE,advanced decomposition (code 4),not necropsied,1993
M1347/93,Cetacean,Harbour porpoise,Single,134,Phocoena phocoena,Harbour porpoise,1993-06-14,Exact,57.71795654,-3.272378445,U,140,TRUE,advanced decomposition (code 4),not necropsied,1993
M1325/93,Cetacean,Harbour porpoise,Single,132,Phocoena phocoena,Harbour porpoise,1993-06-14,Exact,57.68031311,-2.957461119,M,124,FALSE,unknown,necropsied,1993
M1346/93,Cetacean,Harbour porpoise,Single,134,Phocoena phocoena,Harbour porpoise,1993-06-14,Exact,57.71878815,-3.279129744,F,120,FALSE,Slight decomposition (code 2b),necropsied,1993
M1399/93,Cetacean,Harbour porpoise,Single,139,Phocoena phocoena,Harbour porpoise,1993-06-18,Exact,58.50348663,-3.130787849,U,NA,TRUE,indeterminate (code 5),not necropsied,1993
M1400/93,Cetacean,Harbour porpoise,Single,140,Phocoena phocoena,Harbour porpoise,1993-06-18,Exact,58.50348663,-3.130787849,U,NA,TRUE,advanced decomposition (code 4),not necropsied,1993
M1369/93,Cetacean,Harbour porpoise,Single,136,Phocoena phocoena,Harbour porpoise,1993-06-18,Exact,58.02545166,-3.8386724,F,124,FALSE,Slight decomposition (code 2b),necropsied,1993
